Top Level Branch,Top Level Sold To,Zone,Top Level Order,Top Level Line,Last Next Status,Shipment Number(s),TL SO Alert,ECD,ECD Notes,Line Creation,Top Level Type,Schedule Pick Date,Promised Delivery Date,Top Level Item,Supply Item Description,SRP1,SC Rep,Line Amount,Region Zone
Branch 1,Customer_6329,North,ORD961617,LINE701295,Processing,SHP566936,,2021-10-13,on track,2021-09-16,Type 3,2021-09-18,2021-10-15,Product_3170,Description of item,239.58,Rep D,6417.97,Zone A
Branch 4,Customer_3666,South,ORD587484,LINE976821,Shipped,SHP507473,,2025-01-06,production capacity limits,2024-12-08,Type 1,2024-12-10,2024-12-30,Product_6959,Description of item,61.2,Rep D,8434.95,Zone D
Branch 3,Customer_6431,North,ORD247348,LINE447677,Delivered,SHP260001,URGENT,2023-10-02,QA inspection delays,2023-08-29,Type 2,2023-08-31,2023-09-20,Product_11987,Description of item,265.6,Rep D,728.97,Zone D
Branch 3,Customer_2306,North,ORD581325,LINE795971,On Hold,SHP244021,,2023-10-13,inventory mismatch,2023-09-02,Type 3,2023-09-04,2023-09-26,Product_5472,Description of item,85.23,Rep D,7261.27,Zone C
Branch 2,Customer_8145,West,ORD204179,LINE698572,On Hold,SHP475194,URGENT,2025-03-15,other issue,2025-02-05,Type 3,2025-02-07,2025-03-02,Product_1821,Description of item,183.11,Rep B,5324.06,Zone C
Branch 3,Customer_7639,North,ORD213921,LINE647367,Processing,SHP860108,URGENT,2022-04-19,supplier price changes,2022-03-23,Type 1,2022-03-25,2022-04-15,Product_10734,Description of item,297.73,Rep B,1810.72,Zone D
Branch 1,Customer_8137,South,ORD264147,LINE160891,Delivered,SHP929990,,2021-05-06,shipping container shortage,2021-04-25,Type 1,2021-04-27,2021-05-05,Product_6060,Description of item,207.78,Rep B,4127.83,Zone B
Branch 3,Customer_4895,East,ORD937740,LINE208026,Processing,SHP220741,URGENT,2023-02-18,on track,2023-02-02,Type 1,2023-02-04,2023-02-19,Product_3924,Description of item,414.72,Rep C,7894.34,Zone C
Branch 1,Customer_9417,East,ORD967437,LINE246524,Delivered,SHP713676,URGENT,2021-07-07,on track,2021-06-27,Type 3,2021-06-29,2021-07-09,Product_9809,Description of item,43.59,Rep A,944.83,Zone B
Branch 1,Customer_4314,North,ORD540928,LINE142001,Shipped,SHP640693,,2023-02-18,QA inspection delays,2023-01-18,Type 3,2023-01-20,2023-02-02,Product_10513,Description of item,265.62,Rep A,5983.44,Zone B
Branch 4,Customer_4627,West,ORD953286,LINE401750,Processing,SHP431426,,2022-08-10,on track,2022-07-30,Type 1,2022-08-01,2022-08-11,Product_9360,Description of item,370.66,Rep B,7980.74,Zone B
Branch 2,Customer_5956,East,ORD557510,LINE647682,Shipped,SHP544168,,2020-05-01,on track,2020-04-16,Type 1,2020-04-18,2020-05-01,Product_6180,Description of item,455.13,Rep C,8642.8,Zone A
Branch 1,Customer_3323,West,ORD116571,LINE808728,On Hold,SHP973587,,2024-12-21,production capacity limits,2024-11-23,Type 1,2024-11-25,2024-12-05,Product_5524,Description of item,155.79,Rep C,2071.74,Zone A
Branch 1,Customer_5954,East,ORD768739,LINE828215,Delivered,SHP464577,,2022-01-16,on track,2022-01-01,Type 1,2022-01-03,2022-01-18,Product_8124,Description of item,274.51,Rep D,954.16,Zone A
Branch 3,Customer_6228,North,ORD487573,LINE396768,Delivered,SHP757885,,2021-05-12,shipping container shortage,2021-04-06,Type 2,2021-04-08,2021-04-28,Product_5861,Description of item,494.88,Rep A,1952.58,Zone C
Branch 2,Customer_2503,West,ORD130950,LINE364894,Shipped,SHP443613,,2022-12-31,supplier price changes,2022-12-18,Type 2,2022-12-20,2022-12-24,Product_11082,Description of item,338.58,Rep B,8343.31,Zone B
Branch 4,Customer_6196,South,ORD999172,LINE974882,Shipped,SHP950301,,2023-09-10,QA inspection delays,2023-08-10,Type 1,2023-08-12,2023-09-02,Product_11658,Description of item,315.97,Rep B,508.41,Zone A
Branch 3,Customer_5032,East,ORD927079,LINE867682,Delivered,SHP831925,URGENT,2022-07-16,supplier price changes,2022-06-07,Type 2,2022-06-09,2022-07-02,Product_6414,Description of item,127.65,Rep D,9345.75,Zone C
Branch 2,Customer_4059,East,ORD270870,LINE534133,Processing,SHP334922,,2022-09-29,inflation impact,2022-09-11,Type 3,2022-09-13,2022-09-26,Product_523,Description of item,142.95,Rep D,4708.33,Zone B
Branch 2,Customer_1825,East,ORD449344,LINE449569,Processing,SHP686687,,2023-09-15,severe weather,2023-09-06,Type 2,2023-09-08,2023-09-14,Product_4884,Description of item,487.22,Rep B,635.21,Zone C
Branch 2,Customer_7407,West,ORD258050,LINE649816,Processing,SHP605274,,2025-03-27,other issue,2025-02-27,Type 2,2025-03-01,2025-03-21,Product_2662,Description of item,479.35,Rep B,1501.88,Zone A
Branch 3,Customer_6546,West,ORD516483,LINE390384,Processing,SHP446410,,2020-08-26,factory shutdown,2020-07-27,Type 2,2020-07-29,2020-08-13,Product_9325,Description of item,258.36,Rep A,8947.79,Zone B
Branch 4,Customer_4101,South,ORD574462,LINE244338,Shipped,SHP920716,,2021-01-31,shipping container shortage,2021-01-08,Type 3,2021-01-10,2021-01-23,Product_4989,Description of item,337.44,Rep C,8317.02,Zone B
Branch 3,Customer_1830,South,ORD781888,LINE331422,Processing,SHP524039,,2024-04-27,production capacity limits,2024-04-02,Type 3,2024-04-04,2024-04-14,Product_6197,Description of item,420.37,Rep A,718.34,Zone B
Branch 4,Customer_6521,South,ORD594045,LINE104454,Shipped,SHP801559,,2022-09-23,on track,2022-09-18,Type 1,2022-09-20,2022-09-23,Product_1940,Description of item,409.18,Rep D,8056.19,Zone D
Branch 2,Customer_4636,West,ORD150153,LINE601407,Shipped,SHP202523,URGENT,2025-03-04,other issue,2025-01-21,Type 1,2025-01-23,2025-02-13,Product_9187,Description of item,145.53,Rep D,766.31,Zone C
Branch 3,Customer_5535,South,ORD425890,LINE490565,Processing,SHP642891,,2023-08-26,QA inspection delays,2023-07-14,Type 3,2023-07-16,2023-08-11,Product_6148,Description of item,370.31,Rep C,7503.5,Zone B
Branch 3,Customer_6014,South,ORD858103,LINE172670,Delivered,SHP169067,,2021-12-27,on track,2021-12-21,Type 3,2021-12-23,2021-12-29,Product_7739,Description of item,259.79,Rep D,7052.77,Zone D
Branch 4,Customer_4774,North,ORD170797,LINE182756,Shipped,SHP829585,,2023-03-17,on track,2023-03-10,Type 1,2023-03-12,2023-03-17,Product_3768,Description of item,125.0,Rep A,3829.64,Zone D
Branch 4,Customer_5774,East,ORD148745,LINE322116,Processing,SHP433530,,2023-09-24,inventory mismatch,2023-08-21,Type 2,2023-08-23,2023-09-11,Product_4888,Description of item,65.43,Rep D,6318.91,Zone C
Branch 2,Customer_8211,North,ORD163975,LINE218221,Processing,SHP895963,,2021-07-06,on track,2021-06-25,Type 2,2021-06-27,2021-07-07,Product_1415,Description of item,170.77,Rep B,3846.87,Zone D
Branch 4,Customer_2629,North,ORD632428,LINE487081,Processing,SHP840742,URGENT,2021-07-16,on track,2021-07-07,Type 3,2021-07-09,2021-07-18,Product_291,Description of item,381.46,Rep C,9531.3,Zone C
Branch 2,Customer_1851,West,ORD100664,LINE819875,Delivered,SHP682344,,2021-04-22,on track,2021-04-02,Type 2,2021-04-04,2021-04-24,Product_8479,Description of item,115.41,Rep B,8602.64,Zone D
Branch 2,Customer_4900,West,ORD275370,LINE344034,Delivered,SHP597562,URGENT,2025-02-18,on track,2025-01-26,Type 2,2025-01-28,2025-02-18,Product_10900,Description of item,358.71,Rep D,5168.46,Zone B
Branch 3,Customer_6129,North,ORD109772,LINE916278,On Hold,SHP874279,,2023-06-21,on track,2023-06-17,Type 1,2023-06-19,2023-06-23,Product_6680,Description of item,454.54,Rep B,4863.52,Zone D
Branch 4,Customer_8698,North,ORD569695,LINE873464,On Hold,SHP460588,,2020-10-24,factory shutdown,2020-09-24,Type 1,2020-09-26,2020-10-17,Product_7127,Description of item,137.55,Rep C,7684.26,Zone B
Branch 3,Customer_4595,East,ORD329565,LINE263454,Processing,SHP344546,,2022-10-07,on track,2022-09-15,Type 1,2022-09-17,2022-10-09,Product_4701,Description of item,367.76,Rep A,1800.17,Zone D
Branch 3,Customer_8803,West,ORD734050,LINE377077,On Hold,SHP479792,,2024-06-22,on track,2024-06-05,Type 1,2024-06-07,2024-06-23,Product_1010,Description of item,491.87,Rep A,6590.79,Zone C
Branch 1,Customer_1905,South,ORD887230,LINE538671,On Hold,SHP181668,,2025-03-11,other issue,2025-02-06,Type 3,2025-02-08,2025-02-20,Product_8516,Description of item,336.27,Rep C,2852.74,Zone B
Branch 3,Customer_8736,East,ORD437827,LINE993453,Processing,SHP245356,,2023-03-15,inventory mismatch,2023-02-25,Type 2,2023-02-27,2023-03-12,Product_11032,Description of item,219.58,Rep A,2715.08,Zone C
Branch 4,Customer_3310,West,ORD970206,LINE811904,On Hold,SHP959932,,2022-06-02,raw material shortage,2022-05-16,Type 1,2022-05-18,2022-05-29,Product_6352,Description of item,45.48,Rep B,3801.48,Zone B
Branch 3,Customer_2088,South,ORD720030,LINE366756,Processing,SHP687183,URGENT,2021-05-22,on track,2021-05-02,Type 1,2021-05-04,2021-05-23,Product_2101,Description of item,478.79,Rep A,2890.84,Zone C
Branch 2,Customer_8778,North,ORD276196,LINE880131,Processing,SHP417307,,2024-09-04,on track,2024-08-09,Type 1,2024-08-11,2024-09-06,Product_2957,Description of item,124.96,Rep A,8744.42,Zone D
Branch 4,Customer_5176,North,ORD644858,LINE453566,On Hold,SHP729671,,2022-12-01,inflation impact,2022-11-09,Type 1,2022-11-11,2022-11-23,Product_5849,Description of item,261.46,Rep D,7864.31,Zone A
Branch 3,Customer_6270,South,ORD413872,LINE110989,Delivered,SHP715258,,2025-03-27,on track,2025-03-03,Type 1,2025-03-05,2025-03-29,Product_8054,Description of item,47.36,Rep B,2385.42,Zone D
Branch 4,Customer_9612,East,ORD158838,LINE876438,Processing,SHP215901,,2022-12-25,supplier price changes,2022-11-30,Type 2,2022-12-02,2022-12-07,Product_11136,Description of item,360.44,Rep C,3437.12,Zone B
Branch 1,Customer_9490,North,ORD390020,LINE221579,Delivered,SHP742980,,2024-02-28,holiday backlog,2024-02-02,Type 3,2024-02-04,2024-02-13,Product_9063,Description of item,54.5,Rep A,698.12,Zone D
Branch 3,Customer_1295,East,ORD141302,LINE816527,Processing,SHP663479,,2023-02-19,severe weather,2023-01-24,Type 3,2023-01-26,2023-02-03,Product_8446,Description of item,464.84,Rep D,6848.48,Zone A
Branch 1,Customer_4777,East,ORD283873,LINE638496,Delivered,SHP725806,,2020-11-21,on track,2020-11-04,Type 2,2020-11-06,2020-11-21,Product_5591,Description of item,73.42,Rep D,1835.25,Zone B
Branch 2,Customer_1375,East,ORD815631,LINE980077,Processing,SHP830220,,2022-07-07,on track,2022-06-20,Type 3,2022-06-22,2022-07-08,Product_9161,Description of item,467.79,Rep B,5546.33,Zone D
Branch 3,Customer_5379,South,ORD717760,LINE584603,Delivered,SHP433102,,2021-08-15,on track,2021-08-07,Type 2,2021-08-09,2021-08-17,Product_4605,Description of item,312.59,Rep A,572.28,Zone C
Branch 4,Customer_7177,North,ORD115730,LINE608839,On Hold,SHP793908,,2023-05-24,inventory mismatch,2023-05-01,Type 1,2023-05-03,2023-05-16,Product_9270,Description of item,335.71,Rep B,3872.71,Zone B
Branch 3,Customer_6664,West,ORD212510,LINE219809,Shipped,SHP736833,,2023-08-17,severe weather,2023-07-18,Type 2,2023-07-20,2023-08-13,Product_4841,Description of item,110.39,Rep A,563.02,Zone B
Branch 3,Customer_4569,North,ORD872593,LINE372412,Processing,SHP811986,,2023-08-14,inventory mismatch,2023-08-07,Type 1,2023-08-09,2023-08-13,Product_4078,Description of item,489.26,Rep D,1205.4,Zone B
Branch 2,Customer_3440,South,ORD228978,LINE455441,On Hold,SHP101596,,2023-01-21,severe weather,2023-01-08,Type 1,2023-01-10,2023-01-16,Product_1382,Description of item,374.01,Rep A,5539.21,Zone C
Branch 3,Customer_5409,South,ORD937180,LINE870941,On Hold,SHP599774,,2020-06-04,factory shutdown,2020-05-08,Type 1,2020-05-10,2020-05-30,Product_8597,Description of item,370.11,Rep D,4646.95,Zone D
Branch 4,Customer_5912,North,ORD739505,LINE177848,Delivered,SHP750862,URGENT,2020-07-27,COVID-19 disruption,2020-06-25,Type 2,2020-06-27,2020-07-23,Product_7851,Description of item,107.14,Rep C,1220.71,Zone C
Branch 1,Customer_3199,South,ORD779321,LINE682717,Processing,SHP790223,URGENT,2023-08-30,inventory mismatch,2023-08-04,Type 3,2023-08-06,2023-08-21,Product_10156,Description of item,239.59,Rep D,8139.72,Zone C
Branch 1,Customer_1561,South,ORD883524,LINE782690,Processing,SHP923873,,2022-06-22,raw material shortage,2022-06-06,Type 3,2022-06-08,2022-06-13,Product_11058,Description of item,337.82,Rep B,2662.59,Zone B
Branch 2,Customer_6536,South,ORD300790,LINE305816,Shipped,SHP471461,,2023-06-04,inventory mismatch,2023-05-02,Type 2,2023-05-04,2023-05-27,Product_3525,Description of item,349.19,Rep B,3274.49,Zone B
Branch 4,Customer_6457,East,ORD915052,LINE312666,Processing,SHP934500,URGENT,2024-01-10,on track,2023-12-28,Type 3,2023-12-30,2024-01-11,Product_3774,Description of item,22.59,Rep A,3662.61,Zone B
Branch 1,Customer_5242,North,ORD479170,LINE359065,Delivered,SHP834155,,2023-05-15,QA inspection delays,2023-04-14,Type 2,2023-04-16,2023-05-02,Product_3311,Description of item,72.1,Rep D,3313.94,Zone B
Branch 2,Customer_1594,South,ORD307057,LINE186577,Shipped,SHP917664,,2022-03-17,on track,2022-03-05,Type 2,2022-03-07,2022-03-18,Product_5322,Description of item,437.4,Rep D,6612.61,Zone C
Branch 1,Customer_8197,East,ORD714370,LINE734376,Processing,SHP618745,,2024-04-13,demand surge,2024-03-10,Type 2,2024-03-12,2024-04-01,Product_9851,Description of item,91.74,Rep D,6467.06,Zone A
Branch 4,Customer_1392,West,ORD721466,LINE571798,Delivered,SHP558523,,2020-08-22,COVID-19 disruption,2020-07-24,Type 2,2020-07-26,2020-08-16,Product_10308,Description of item,126.24,Rep D,8869.1,Zone C
Branch 3,Customer_7272,East,ORD204733,LINE788627,Processing,SHP603956,URGENT,2022-02-08,inflation impact,2022-01-07,Type 3,2022-01-09,2022-01-31,Product_5495,Description of item,145.11,Rep C,9873.72,Zone D
Branch 4,Customer_7972,South,ORD569018,LINE565868,Processing,SHP271264,,2023-05-18,on track,2023-04-20,Type 1,2023-04-22,2023-05-19,Product_10679,Description of item,71.55,Rep B,1783.19,Zone D
Branch 4,Customer_7708,South,ORD413192,LINE714932,On Hold,SHP446378,,2024-05-06,holiday backlog,2024-04-16,Type 3,2024-04-18,2024-05-03,Product_5799,Description of item,102.98,Rep D,4063.57,Zone D
Branch 1,Customer_8659,North,ORD385079,LINE411835,Shipped,SHP183287,,2023-05-14,inventory mismatch,2023-03-28,Type 2,2023-03-30,2023-04-26,Product_9545,Description of item,294.59,Rep D,5538.04,Zone A
Branch 4,Customer_6109,South,ORD701717,LINE725703,Processing,SHP659172,,2022-02-17,on track,2022-02-14,Type 3,2022-02-16,2022-02-19,Product_7627,Description of item,437.28,Rep D,3601.66,Zone B
Branch 1,Customer_3354,North,ORD826329,LINE387342,Delivered,SHP622515,URGENT,2020-05-19,on track,2020-04-22,Type 2,2020-04-24,2020-05-21,Product_723,Description of item,261.7,Rep A,9515.49,Zone A
Branch 3,Customer_9599,West,ORD472701,LINE337530,Processing,SHP918979,,2024-01-21,on track,2024-01-13,Type 1,2024-01-15,2024-01-22,Product_8898,Description of item,35.36,Rep B,3349.54,Zone B
Branch 4,Customer_1971,North,ORD201800,LINE994601,Processing,SHP213623,URGENT,2021-05-17,shipping container shortage,2021-04-08,Type 2,2021-04-10,2021-04-30,Product_5132,Description of item,432.71,Rep B,4598.75,Zone A
Branch 4,Customer_8633,South,ORD121550,LINE141608,Shipped,SHP970416,,2020-07-30,on track,2020-07-04,Type 3,2020-07-06,2020-07-31,Product_3190,Description of item,73.46,Rep B,5770.68,Zone B
Branch 2,Customer_4267,North,ORD988272,LINE275892,Shipped,SHP126323,URGENT,2023-02-17,severe weather,2023-01-29,Type 3,2023-01-31,2023-02-14,Product_1394,Description of item,351.17,Rep C,3399.95,Zone C
Branch 1,Customer_4284,North,ORD901062,LINE636797,Processing,SHP741864,,2022-01-16,labor shortage,2021-12-10,Type 2,2021-12-12,2022-01-06,Product_11293,Description of item,290.23,Rep C,513.1,Zone A
Branch 1,Customer_7435,South,ORD174388,LINE564028,On Hold,SHP993197,URGENT,2022-12-11,on track,2022-11-14,Type 1,2022-11-16,2022-12-13,Product_2965,Description of item,460.28,Rep B,8992.4,Zone C
Branch 4,Customer_5309,North,ORD695752,LINE625603,Shipped,SHP858125,,2021-02-17,on track,2021-01-23,Type 3,2021-01-25,2021-02-17,Product_7517,Description of item,303.55,Rep C,4715.97,Zone C
Branch 2,Customer_9115,South,ORD382444,LINE300416,Processing,SHP669925,,2022-01-16,shipping container shortage,2021-12-17,Type 1,2021-12-19,2022-01-15,Product_2588,Description of item,387.8,Rep D,1253.01,Zone C
Branch 4,Customer_2225,North,ORD204184,LINE395817,Processing,SHP380019,,2023-02-28,QA inspection delays,2023-02-02,Type 2,2023-02-04,2023-02-14,Product_11795,Description of item,59.86,Rep B,6065.5,Zone C
Branch 1,Customer_1500,South,ORD374374,LINE633953,On Hold,SHP716768,,2020-11-24,on track,2020-11-12,Type 2,2020-11-14,2020-11-25,Product_10265,Description of item,177.24,Rep D,1657.41,Zone C
Branch 3,Customer_5855,East,ORD569585,LINE211559,On Hold,SHP661373,URGENT,2021-08-09,shipping container shortage,2021-06-27,Type 3,2021-06-29,2021-07-23,Product_9720,Description of item,438.1,Rep B,8763.85,Zone B
Branch 1,Customer_2020,West,ORD492035,LINE514201,Processing,SHP514677,URGENT,2025-02-19,other issue,2025-02-01,Type 2,2025-02-03,2025-02-08,Product_10575,Description of item,461.94,Rep A,7074.19,Zone A
Branch 4,Customer_9579,East,ORD777456,LINE770263,Delivered,SHP397646,,2023-10-15,inventory mismatch,2023-09-19,Type 3,2023-09-21,2023-10-06,Product_7836,Description of item,235.49,Rep B,3016.77,Zone D
Branch 4,Customer_8324,West,ORD140042,LINE297543,Processing,SHP546218,,2020-09-09,supply chain delay,2020-08-17,Type 3,2020-08-19,2020-08-23,Product_6960,Description of item,478.77,Rep A,5121.33,Zone A
Branch 4,Customer_7377,East,ORD744557,LINE700568,Shipped,SHP999536,,2025-03-09,on track,2025-03-01,Type 1,2025-03-03,2025-03-11,Product_8986,Description of item,219.71,Rep D,5287.83,Zone C
Branch 4,Customer_5197,East,ORD955603,LINE657511,Shipped,SHP584170,,2020-11-10,supply chain delay,2020-10-23,Type 1,2020-10-25,2020-10-29,Product_11242,Description of item,456.01,Rep D,4547.25,Zone C
Branch 3,Customer_6773,East,ORD177817,LINE437865,On Hold,SHP631807,,2023-04-25,inventory mismatch,2023-03-27,Type 3,2023-03-29,2023-04-08,Product_9644,Description of item,335.91,Rep D,5816.15,Zone C
Branch 3,Customer_7789,South,ORD755605,LINE183604,Processing,SHP282593,,2021-08-22,shipping container shortage,2021-08-09,Type 2,2021-08-11,2021-08-14,Product_2989,Description of item,357.0,Rep C,7328.03,Zone C
Branch 4,Customer_6918,North,ORD129850,LINE215003,Shipped,SHP611089,,2022-04-23,raw material shortage,2022-04-09,Type 1,2022-04-11,2022-04-14,Product_4613,Description of item,156.93,Rep C,4242.77,Zone C
Branch 4,Customer_3847,South,ORD820842,LINE269571,On Hold,SHP441918,,2021-09-28,labor shortage,2021-09-04,Type 1,2021-09-06,2021-09-20,Product_2791,Description of item,400.29,Rep A,6732.92,Zone D
Branch 1,Customer_1746,West,ORD675248,LINE725797,Shipped,SHP213460,,2022-09-08,on track,2022-09-01,Type 3,2022-09-03,2022-09-08,Product_742,Description of item,336.66,Rep B,7719.98,Zone D
Branch 3,Customer_8657,East,ORD395645,LINE779940,Shipped,SHP791530,,2023-12-20,severe weather,2023-12-05,Type 1,2023-12-07,2023-12-11,Product_9392,Description of item,321.86,Rep D,1460.77,Zone A
Branch 2,Customer_8957,East,ORD794157,LINE982775,Processing,SHP826214,URGENT,2022-08-11,on track,2022-07-27,Type 2,2022-07-29,2022-08-11,Product_11388,Description of item,340.74,Rep C,7888.74,Zone A
Branch 2,Customer_5164,West,ORD435304,LINE861208,Delivered,SHP360366,URGENT,2023-11-29,on track,2023-11-23,Type 2,2023-11-25,2023-12-01,Product_4204,Description of item,389.31,Rep C,7395.45,Zone B
Branch 3,Customer_8422,North,ORD116638,LINE108837,Processing,SHP930876,URGENT,2021-04-04,on track,2021-03-24,Type 2,2021-03-26,2021-04-05,Product_5593,Description of item,486.68,Rep A,2655.15,Zone D
Branch 3,Customer_6640,South,ORD709456,LINE108589,On Hold,SHP998973,,2022-04-16,supplier price changes,2022-03-20,Type 3,2022-03-22,2022-04-12,Product_1173,Description of item,363.21,Rep A,566.55,Zone D
Branch 3,Customer_5439,West,ORD199029,LINE661546,Delivered,SHP148623,,2020-11-10,COVID-19 disruption,2020-10-02,Type 2,2020-10-04,2020-10-25,Product_6561,Description of item,167.3,Rep A,1097.41,Zone A
Branch 1,Customer_2284,South,ORD445777,LINE332148,On Hold,SHP872018,,2021-07-29,on track,2021-07-01,Type 1,2021-07-03,2021-07-29,Product_3684,Description of item,60.9,Rep A,1555.31,Zone A
Branch 1,Customer_9358,East,ORD331042,LINE566008,On Hold,SHP496065,,2020-12-11,on track,2020-11-29,Type 1,2020-12-01,2020-12-13,Product_8365,Description of item,30.4,Rep C,7877.66,Zone D
Branch 4,Customer_5411,North,ORD743409,LINE741589,Processing,SHP705865,URGENT,2021-05-22,on track,2021-05-03,Type 3,2021-05-05,2021-05-22,Product_9983,Description of item,450.24,Rep C,7293.9,Zone B
Branch 1,Customer_9740,West,ORD266634,LINE543848,Delivered,SHP775273,,2021-08-17,on track,2021-07-24,Type 2,2021-07-26,2021-08-18,Product_7888,Description of item,181.75,Rep B,8908.08,Zone C
Branch 3,Customer_2411,South,ORD270145,LINE924756,On Hold,SHP422361,,2022-12-29,raw material shortage,2022-11-28,Type 3,2022-11-30,2022-12-26,Product_9989,Description of item,228.76,Rep D,7360.27,Zone B
Branch 3,Customer_1529,West,ORD920439,LINE810130,Delivered,SHP302627,,2023-10-13,QA inspection delays,2023-09-16,Type 3,2023-09-18,2023-09-27,Product_1846,Description of item,171.31,Rep C,7927.82,Zone D
Branch 1,Customer_8035,South,ORD486434,LINE219753,On Hold,SHP805054,URGENT,2024-06-22,on track,2024-06-01,Type 2,2024-06-03,2024-06-24,Product_11342,Description of item,238.66,Rep C,7813.75,Zone B
Branch 2,Customer_2171,East,ORD387413,LINE606948,On Hold,SHP190481,,2020-05-25,COVID-19 disruption,2020-04-27,Type 2,2020-04-29,2020-05-11,Product_9324,Description of item,63.9,Rep A,8381.23,Zone C
Branch 1,Customer_9752,South,ORD848877,LINE414946,Shipped,SHP174919,,2023-04-16,on track,2023-03-22,Type 1,2023-03-24,2023-04-17,Product_8344,Description of item,473.49,Rep D,7269.84,Zone D
Branch 2,Customer_5949,East,ORD692431,LINE506662,Delivered,SHP264775,,2020-08-06,on track,2020-07-12,Type 1,2020-07-14,2020-08-07,Product_4112,Description of item,276.17,Rep A,3761.99,Zone D
Branch 2,Customer_8423,West,ORD167688,LINE416925,Delivered,SHP649525,URGENT,2024-03-03,holiday backlog,2024-01-22,Type 2,2024-01-24,2024-02-17,Product_5593,Description of item,163.32,Rep D,5358.42,Zone B
Branch 4,Customer_1836,East,ORD670288,LINE243694,On Hold,SHP448505,,2022-06-17,on track,2022-06-08,Type 3,2022-06-10,2022-06-18,Product_3705,Description of item,429.67,Rep C,3340.49,Zone D
Branch 1,Customer_4741,West,ORD254465,LINE199837,Processing,SHP677774,,2024-01-21,demand surge,2024-01-01,Type 3,2024-01-03,2024-01-16,Product_6772,Description of item,322.41,Rep B,7978.6,Zone A
Branch 4,Customer_7626,East,ORD906637,LINE377775,Processing,SHP590212,URGENT,2024-09-22,on track,2024-09-16,Type 2,2024-09-18,2024-09-22,Product_6993,Description of item,282.22,Rep D,6656.35,Zone B
Branch 2,Customer_3792,East,ORD371691,LINE120758,On Hold,SHP318628,,2023-02-26,on track,2023-02-05,Type 1,2023-02-07,2023-02-26,Product_4286,Description of item,134.5,Rep B,3722.76,Zone B
Branch 3,Customer_3672,West,ORD614916,LINE377779,Shipped,SHP939855,,2023-07-07,severe weather,2023-06-16,Type 1,2023-06-18,2023-06-26,Product_10965,Description of item,92.89,Rep B,7078.24,Zone B
Branch 2,Customer_2209,West,ORD541036,LINE809985,On Hold,SHP423506,,2023-08-01,on track,2023-07-12,Type 2,2023-07-14,2023-08-02,Product_208,Description of item,219.3,Rep D,558.39,Zone A
Branch 1,Customer_7543,South,ORD282209,LINE756572,Processing,SHP198231,,2025-03-20,on track,2025-02-24,Type 1,2025-02-26,2025-03-21,Product_4974,Description of item,300.71,Rep C,5184.31,Zone C
Branch 2,Customer_6818,West,ORD939903,LINE641195,On Hold,SHP102966,,2024-03-13,on track,2024-03-04,Type 1,2024-03-06,2024-03-13,Product_10065,Description of item,241.33,Rep B,9646.27,Zone A
Branch 1,Customer_2333,South,ORD735205,LINE819223,On Hold,SHP395222,,2024-09-26,production capacity limits,2024-08-15,Type 2,2024-08-17,2024-09-07,Product_4286,Description of item,160.63,Rep A,5494.13,Zone C
Branch 3,Customer_6702,West,ORD415955,LINE877827,On Hold,SHP394576,URGENT,2023-10-08,severe weather,2023-09-12,Type 3,2023-09-14,2023-09-22,Product_589,Description of item,140.9,Rep B,9121.77,Zone A
Branch 1,Customer_5787,South,ORD535575,LINE222324,Shipped,SHP810001,,2022-01-21,on track,2022-01-15,Type 3,2022-01-17,2022-01-21,Product_11581,Description of item,459.57,Rep D,9648.62,Zone C
Branch 1,Customer_5900,West,ORD490010,LINE734557,Shipped,SHP200412,,2024-08-31,holiday backlog,2024-08-08,Type 2,2024-08-10,2024-08-17,Product_7139,Description of item,118.28,Rep A,4787.04,Zone D
Branch 4,Customer_1551,South,ORD770526,LINE304476,Shipped,SHP957085,URGENT,2020-09-09,factory shutdown,2020-08-15,Type 3,2020-08-17,2020-08-27,Product_2769,Description of item,364.67,Rep A,2901.55,Zone B
Branch 1,Customer_3757,South,ORD273666,LINE531218,On Hold,SHP972465,URGENT,2020-06-26,factory shutdown,2020-05-26,Type 1,2020-05-28,2020-06-20,Product_9454,Description of item,365.71,Rep D,9373.8,Zone D
Branch 1,Customer_6744,East,ORD307467,LINE877952,Delivered,SHP337734,,2023-07-29,inventory mismatch,2023-07-21,Type 2,2023-07-23,2023-07-26,Product_6901,Description of item,79.01,Rep D,837.64,Zone C
Branch 4,Customer_7120,East,ORD124545,LINE656912,Processing,SHP172251,,2024-09-17,demand surge,2024-08-03,Type 3,2024-08-05,2024-08-30,Product_5030,Description of item,454.06,Rep B,7985.47,Zone C
Branch 1,Customer_5670,North,ORD120867,LINE135208,Delivered,SHP596363,,2021-05-02,on track,2021-04-27,Type 2,2021-04-29,2021-05-02,Product_9521,Description of item,373.28,Rep D,4986.53,Zone C
Branch 1,Customer_2167,East,ORD913647,LINE135548,On Hold,SHP961952,,2020-06-26,factory shutdown,2020-06-08,Type 2,2020-06-10,2020-06-17,Product_1237,Description of item,378.35,Rep D,4843.38,Zone A
Branch 3,Customer_8343,West,ORD724834,LINE656349,Processing,SHP923714,,2020-05-12,factory shutdown,2020-04-11,Type 2,2020-04-13,2020-05-02,Product_2107,Description of item,51.79,Rep C,7851.99,Zone B
